	id	text	label	insulto	grado	rol	tipo	insultos
0	tweet85_1234943272562446336	@laSextaTV @cayetanaAT @cayetanaAT Grande Cayetana, somos muchos los que pensamos igual que usted sobre la SECTA, con independencia del ideario poltico. Tiene usted ms coj...s que todos los barones del PP juntos.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['la SECTA', 'Tiene usted ms coj...s que todos los barones del PP juntos']
1	tweet76_1235118763579604993	@laSextaTV La Sextapo.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['La Sextapo']
2	tweet69_1235152882988650496	@laSextaTV Retractarse de la verdad? Venga ya	NOVIOLENTO	NO				[]
3	tweet8_991352279679819776	La #Poltica No es de #Personas es de #Modelos Duque y Vargas son d un Modelo q Aunque Imperfecto Funciona para la #GranMayora Petro y De la Calle son de un Modelo #Obsoleto #Fracasado y Funciona Mal para la #InmensaMayora Vase la Historia y el Presente de #Vzla y #Nicaragua.	NOVIOLENTO	NO				[]
4	tweet10_1235123983743361024	@laSextaTV @cayetanaAT Y adems viven de hacerlo. Han encontrado en el PP una mina.	NOVIOLENTO	NO				[]
5	tweet90_990993212687994881	@Taliban910 vergenza das vos. que te la das de periodista y no llegas ni a los talones .. #DasAsco	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['vergenza das', 'DasAsco']
6	tweet76_1591842372161310722	@sanmgATM TODOS, sin excepcin, los que han ido a la Manifestacin contra Ayuso con la excusa de la Sanidad Pblica, (es as, no al revs) son unos HIJOS DE PUTA. Como est el Pas y han estado escondidos porque gobierna el Psoe y hoy salen como alimaas. MISERABLES. HIJOS DE PUTA.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['son unos HIJOS DE PUTA', 'alimaas', 'MISERABLES', 'HIJOS DE PUTA']
7	tweet12_1234935292186021889	@laSextaTV S, el ABC.	NOVIOLENTO	NO				[]
8	tweet19_1235081041615998976	@laSextaTV Esta mujer tan criticada dica la verdad.	NOVIOLENTO	NO				[]
9	tweet18_1235213440953856002	@laSextaTV Sois el canal de TV mas manipulador, partidista y poco objetivo que hay despues de TV3  No he visto nunca, un canal que calla los trapos sucios del gobierno para hacer OPOSICION DE LA OPOSICION, vergonzoso. Ademas sois responsables de difundir el odio hacia VOX llamandolo extrema https://t.co/ig5xcGDIgb	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['manipulador', 'vergonzoso', 'sois responsables de difundir el odio']
10	tweet14_1235244554095296514	@IreneMontero Das mucha vergenza ajena. T incapacidad asusta.	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['Das mucha vergenza ajena', 'T incapacidad']
11	tweet95_1235169765603323906	@laSextaTV Acaso miente? Solo criticais a los que no son afines a vuestras ideas.	NOVIOLENTO	NO				[]
12	tweet51_1235459409431670784	@laSextaTV La piel mas fina del universo es de la prensa. Vosotros podis insultar y manipular, ahora a vosotros que ni os nombren	NOVIOLENTO	SI				['insultar', 'manipular']
13	tweet64_1235108401140527105	@laSextaTV Cayetana, lo mejor del PP. Animo y no te achantes, por favor	NOVIOLENTO	NO				[]
14	tweet12_1235323456427786240	@IreneMontero Y lo querer  azotar a Maril Montero hasta hacerla sangrar no es machismo?	VIOLENTO	SI	GRAVE	INFORMATIVO	OTRO	['azotar', 'hasta hacerla sangrar']
15	tweet35_1235336134345003008	@laSextaTV Y se queda corta	NOVIOLENTO	NO				[]
16	tweet88_1234888666838945793	@laSextaTV Totalmente de acuerdo con @cayetanaAT	NOVIOLENTO	NO				[]
17	tweet13_1234968203379593217	@laSextaTV Uno no ha de retractarse cuando dice la verdad. Os ha definido perfectamente, de hecho ha sido bastante benvola.	NOVIOLENTO	NO				[]
18	tweet7_1592824664572977152	La puta movida madrilea llena de fachasy de malos artista y personasun ascoy ahora el do Almeida/Ayuso para enterrar a ese puto agujero negro  https://t.co/iRqKB5Vsjr	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['puta', 'fachasy', 'un asco', 'puto']
19	tweet96_1235237273651814400	@IreneMontero No demos municin al  Trifachito  Ese Slogan no representa a l@s  Feministas Retirarlo sera lo acertado Un Saludo...	NOVIOLENTO	NO				[]
20	tweet92_1235342855184486400	@IreneMontero Venga va, solas y borrachas para reivindicar... Q solas y sobrias no sirve. Acompaadas y con un pedo de los guays tb es bien??? Es para una amiga	NOVIOLENTO	NO				[]
21	tweet63_1235345065234624514	@IreneMontero Dnde estabas toda nuestra vida!!? https://t.co/NNscSWzGUD	NOVIOLENTO	NO				[]
22	tweet48_1235509220029710338	@IreneMontero Vaya una gilipollez, nunca vestir o beber ha justificado o atenuado nada de eso ms all de los locos y delincuentes y algunos inquisidores que los necesitan para llamar al gnero masculino en general 'asesino'	NOVIOLENTO	NO				[]
23	tweet45_1235202448903598080	@laSextaTV La verdad duele  y mucho. La secta existe gracias a la izmierda rancia de potemos. Jajajaja	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['izmierda', 'rancia', 'potemos']
24	tweet20_1234887601783484418	@laSextaTV Seores es que tiene toda la razn.	NOVIOLENTO	NO				[]
25	tweet61_1234931286768267265	@laSextaTV Alvarez de Toledo se mantiene sincera. Hoy es raro....	NOVIOLENTO	NO				[]
26	tweet73_1235374670582595584	@IreneMontero Hoy otra amiga de tu grupo de infancia libre ha secuestrado a sus hijos .	NOVIOLENTO	NO				[]
27	tweet50_1234947045473079302	@laSextaTV Ustedes crticais a diario, se llama libertad de expresin.	NOVIOLENTO	NO				[]
28	tweet79_1234880414243807237	@laSextaTV Por qu se iba a retractar? Dijo alguna mentira?	NOVIOLENTO	NO				[]
29	tweet58_1235179502139068417	@laSextaTV Tiene razn de qu se va a retractar?	NOVIOLENTO	NO				[]
30	tweet35_1234976232669773826	@laSextaTV @cayetanaAT Bravo Cayetana!!!, me parece perfecto, soys pura basura, llegando casi al nivel de TV3	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['soys pura basura']
31	tweet36_1235242698531106816	@IreneMontero Qu nivel Maribel! Que un ministerio, que ha de representarnos a todos mos espaoles est en manos de semejante iletrada da mucha pena	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['iletrada', 'da mucha pena']
32	tweet99_1591811585844334592	@agarzon Hoy habis salido lo podemonguers a criticar y hacer campaa contra Ayuso, a vosotros la sanidad pblica os la trae al fresco, as q a contar mentiras a tu puta casa, Por qu no os manifestis en Barcelona o Aragn? q est peor an la sanidad pblica, puto embustero, sois .	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['podemonguers', 'a tu puta casa', 'puto embustero']
33	tweet58_1235101210878730240	@laSextaTV De verdad que, a los de La Secta, os parece errneo que se os considere un medio propagandstico en vez de comunicativo? Entonces sois ms limitados de lo que parecis...	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['sois ms limitados de lo que parecis...']
34	tweet67_991218086467555328	Cualquiera se llama a s misma terapeuta o coach  #ridcula	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['ridcula']
35	tweet64_1234900398332399622	"@laSextaTV Y as nos sentimos. Es cierto que eres un mquina y sabes usar a la gente, pero nos enseasteis a reciclar y el envoltorio tambin lo tiramos, periodista de La Salada. Por no llamarte ""Hijo de Puta"" directamente, que es de lo que dan ganas."	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	"['""Hijo de Puta""']"
36	tweet77_1591879602670034945	"Ayuso te encerr en casa, te oblig a llevar bozal, oblig a tus hijos 2 cursos, organiz un circo en IFEMA y otro en la ""pista de hielo"" para vender el ""relato oficial"". Los que hoy se manifestaban contra ella, no dijeron ni mu ante todo eso.  Igual de hijos de puta unos y otros"	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['hijos de puta']
37	tweet16_1234917954153828354	@laSextaTV Todos deberamos actuar con el valor y el coraje de Cayetana.	NOVIOLENTO	NO				[]
38	tweet5_1234842471940657152	@laSextaTV @cayetanaAT @cayetanaAT, la derechita cobarde ni si quiera te defiende. Algunos como @FeijooGalicia te atacan.  Los nicos que te han defendido son @vox_es. Si vas a decir lo que piensas sin complejos, el cobarde PP no es tu partido. Ests a tiempo de cambiar.	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['derechita', 'cobarde']
39	tweet15_1234912403235708929	@laSextaTV Ol Cayetana https://t.co/RM4R8j2N1K	NOVIOLENTO	NO				[]
40	tweet2_1591230206169473024	@paisjodido @anluma99 En que quedamos, eres de Ayuso y te da asco el PP.  O te paga el equipo de Ayuso, y tambin el PP.  Te lo llevas muerto x2. ??  Se te cae el discurso compaero	NOVIOLENTO	SI				['Te lo llevas muerto']
41	tweet39_1592204659720335360	@victorgdlv No le quito ni una coma. Ha dicho toda la puta verdad de lo que es la izquierda actual en menos de 5 minutos. Por eso os jode tanto Ayuso, por sus verdades y porque no sois capaces de callarla... Ni lo seris.	NOVIOLENTO	SI				['la puta verdad']
42	tweet32_1234977073938067456	@laSextaTV Lo nico bueno de vuestra tele comunista es el trasero de la mujer del simio	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['trasero de la mujer', 'simio']
43	tweet86_1591241416076058624	Lo mejor de mi mes sin duda ha sido el perreo de Anitta a la Ayuso jajajaja. Qu puta joya! https://t.co/5xLuZQdDhR	NOVIOLENTO	SI				['puta joya']
44	tweet34_1235701094535307266	@IreneMontero Federico te llama la erudita y la analfabeta. Yo te veo mas con la segunda definicin.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['analfabeta']
45	tweet18_1235211481974812679	@laSextaTV Totalmente a favor suyo. Todava me acuerdo de cuando fusteis a buscar a los votantes de VOX a las puertas de su casa. No he visto lo mismo con los nacionalistas o con el resto.   100% Cayetana.	NOVIOLENTO	NO				[]
46	tweet1_1592225406547288065	@SergioPerezben1 @aterra2s Y los casi 8000 ancianos en l comunidad de madrid tambin los mato el PSOE o la puta loca de ayuso . Los de las cunetas tambin los mat la izquierda no ? y tampoco negoci el pp con ETA en con Aznar y cuando todava estaba caliente el cuerpo de ngel blanco . Dais ascazo	VIOLENTO	SI	GRAVE	EJECUTOR	OTRO	['los mato el', 'la puta loca', 'los mat', 'Dais ascazo']
47	tweet85_1591862684299005952	Seas del signo que seas , que mala defensa tiene lo de Ayuso , y siendo as , deja de decir sandeces ,excusas justificando lo indefendible solo cllate la puta boca y aguanta el chaparrn . Hooligan de pacotilla !	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['cllate la puta boca', 'de pacotilla']
48	tweet12_1234844255937605632	@laSextaTV Mucho nimo a @cayetanaAT, falta le har con semejantes sinvergezas como so n @laSextaTV y  @DebatAlRojoVivo	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['sinvergezas']
49	tweet85_1235311308188377092	@IreneMontero Y con este MACHISTA que se define as mismo como psicpata que hacemos???.  https://t.co/ts4eXuoq0S	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['MACHISTA', 'psicpata']
50	tweet82_1592851422693163013	@Monica_Garcia_G Das entre pena y asco jajajaja de verdad que lo mejor que le pudo pasad a Ayuso es que t seas lider de la oposicin. Si tanto te preocupa la sanidad ponte a trabajar como mdico y deja de hacer l ridiculo	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['Das entre pena y asco', 'deja de hacer l ridiculo']
51	tweet23_1234926847122706435	@laSextaTV Cmo se va a retractar? Vosotros llevis escracheando mediticamente a polticos y dems actores de la vida pblica para hacerlos callar o hacerlos tragar con vuestro ideario neocomunista. Cada vez sern ms quienes planten cara a vuestro ideario neocomunista desvastador y vil	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['ideario neocomunista desvastador y vil']
52	tweet52_1590884096565465090	@josevico4 Lo mejor es que no dejen hablar a Ayuso...que asco de democracia donde va un poltico y dice algo que no te gusta no?	VIOLENTO	SI	MODERADO	PASIVO	OTRO	['asco']
53	tweet19_1235566706593894407	@IreneMontero Se puede ser ms incompetente??	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['incompetente']
54	tweet14_1235520200616873984	@IreneMontero la ni-nistra de igual-d protagoniza la revolucin unicornio: https://t.co/uzbXanQjWo	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['ni-nistra']
55	tweet75_1235864654879977473	@laSextaTV @cayetanaAT As es. El PP no tiene los arrestos que hay que tener para defender a la seora lvarez de Toledo.	NOVIOLENTO	NO				[]
56	tweet1_1591762894374727680	@Listuja @AntonioMaestre Jajajajajajajaja, pero mira que eres tont@ @Listuja  Hasta el apuntador sabe que tu amado partido de la gaviota corrupta ha rebentado la sanidad en todo el pais, pero la pu#@ loca de Ayuso le ha prendido fuego a la de Madrid. Dais puto asco.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['eres tont@', 'ha rebentado', 'la pu#@ loca', 'Dais puto asco']
57	tweet81_990141065368952833	"Que alguien me explique x favor este Cdigo Penal este CGPJ este Gobierno y anteriores y l@s Ministr@s de #Justicia.Esta mierda qu es? Qu toma esta gente ""Fachardn   complex""  para dictar sentencias? Da mucho #asco luego te cagas en la #puta #Espaa y te linchan.ATPCulo ya!"	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['Da mucho #asco', 'puta', 'linchan', 'ATPCulo ya']
58	tweet14_1235486441322328065	@laSextaTV  Se ha retractado ya Ferreras por el terrorista suicida lleno de calzoncillos del 11- M ?? Porque, tiempo ha tenido,  ya van para 16 aos.	NOVIOLENTO	NO				[]
59	tweet95_1593573873278222336	Es que ayuso te pillo y te agarr de los 4 pelos esos y te reviento el crneo contra un bordillo HIJA DE PUTA	VIOLENTO	SI	GRAVE	EJECUTOR	OTRO	['te pillo y', 'te agarr', 'te reviento el crneo contra un bordillo', 'HIJA DE PUTA']
60	tweet59_1591326154228916225	@Asturika1 Ahora llegar a un medio de comunicacin de estos que tienen la misma poca vergenza que el y da voz a sus payasadas o las de la cnica y loca de Ayuso y sus votantes que a esta altura no tienen mucha ms categora que el pues lo mismo, un asco de gente	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['cnica', 'loca', 'un asco']
61	tweet40_1592447545112154113	@HoyPorHoy @EduMadina @jlayllon @VictorLapuente La infame indecencia que desprenden los informativos de @Hora14 y @La_SER con las impresentables cuas del PP del narcoyate Feijoo  y la descerebrada  Ayuso repitiendo una y otra vez sus memeces es una falta de respeto a la audiencia y dice mucho de sus impresentables dueos.Asco	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['la descerebrada', 'Asco']
62	tweet95_1592105229872689153	@AnabelAlonso_of Critica que hay muchas ciudades que la sanidad da asco y n es culpa de ayuso sino de tu estado de rojuchos que son los que dan el dinero pedazo de burraca! Aqui en valencia son de los tuyos y la sanidad va peor porque n hablis de estos? Eso n interesa no???	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['burraca']
63	tweet62_1234898749266284544	@laSextaTV Esta ta tiene cara de malaleche	NOVIOLENTO	NO				[]
64	tweet3_1234950910842998790	@laSextaTV Y bien suave es. Si dijramos lo que pensamos de vosotros, mercenarios...	NOVIOLENTO	NO				[]
65	tweet39_1591873412158615553	ESTOS SON UN ASCO. COMO LA AYUSO. https://t.co/DdaWmfavGx	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['SON UN ASCO']
