	id	text	label	insulto	grado	rol	tipo	insultos
2639	tweet85_1234943272562446336	@laSextaTV @cayetanaAT @cayetanaAT Grande Cayetana, somos muchos los que pensamos igual que usted sobre la SECTA, con independencia del ideario poltico. Tiene usted ms coj...s que todos los barones del PP juntos.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['la SECTA', 'Tiene usted ms coj...s que todos los barones del PP juntos']
159	tweet76_1235118763579604993	@laSextaTV La Sextapo.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['La Sextapo']
154	tweet69_1235152882988650496	@laSextaTV Retractarse de la verdad? Venga ya	NOVIOLENTO	NO				[]
1511	tweet8_991352279679819776	La #Poltica No es de #Personas es de #Modelos Duque y Vargas son d un Modelo q Aunque Imperfecto Funciona para la #GranMayora Petro y De la Calle son de un Modelo #Obsoleto #Fracasado y Funciona Mal para la #InmensaMayora Vase la Historia y el Presente de #Vzla y #Nicaragua.	NOVIOLENTO	NO				[]
2717	tweet10_1235123983743361024	@laSextaTV @cayetanaAT Y adems viven de hacerlo. Han encontrado en el PP una mina.	NOVIOLENTO	NO				[]
104	tweet90_990993212687994881	@Taliban910 vergenza das vos. que te la das de periodista y no llegas ni a los talones .. #DasAsco	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['vergenza das', 'DasAsco']
1984	tweet76_1591842372161310722	@sanmgATM TODOS, sin excepcin, los que han ido a la Manifestacin contra Ayuso con la excusa de la Sanidad Pblica, (es as, no al revs) son unos HIJOS DE PUTA. Como est el Pas y han estado escondidos porque gobierna el Psoe y hoy salen como alimaas. MISERABLES. HIJOS DE PUTA.	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['son unos HIJOS DE PUTA', 'alimaas', 'MISERABLES', 'HIJOS DE PUTA']
120	tweet12_1234935292186021889	@laSextaTV S, el ABC.	NOVIOLENTO	NO				[]
1867	tweet19_1235081041615998976	@laSextaTV Esta mujer tan criticada dica la verdad.	NOVIOLENTO	NO				[]
125	tweet18_1235213440953856002	@laSextaTV Sois el canal de TV mas manipulador, partidista y poco objetivo que hay despues de TV3  No he visto nunca, un canal que calla los trapos sucios del gobierno para hacer OPOSICION DE LA OPOSICION, vergonzoso. Ademas sois responsables de difundir el odio hacia VOX llamandolo extrema https://t.co/ig5xcGDIgb	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['manipulador', 'vergonzoso', 'sois responsables de difundir el odio']
1796	tweet14_1235244554095296514	@IreneMontero Das mucha vergenza ajena. T incapacidad asusta.	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['Das mucha vergenza ajena', 'T incapacidad']
2067	tweet95_1235169765603323906	@laSextaTV Acaso miente? Solo criticais a los que no son afines a vuestras ideas.	NOVIOLENTO	NO				[]
643	tweet51_1235459409431670784	@laSextaTV La piel mas fina del universo es de la prensa. Vosotros podis insultar y manipular, ahora a vosotros que ni os nombren	NOVIOLENTO	SI				['insultar', 'manipular']
2628	tweet64_1235108401140527105	@laSextaTV Cayetana, lo mejor del PP. Animo y no te achantes, por favor	NOVIOLENTO	NO				[]
2395	tweet12_1235323456427786240	@IreneMontero Y lo querer  azotar a Maril Montero hasta hacerla sangrar no es machismo?	VIOLENTO	SI	GRAVE	INFORMATIVO	OTRO	['azotar', 'hasta hacerla sangrar']
1666	tweet35_1235336134345003008	@laSextaTV Y se queda corta	NOVIOLENTO	NO				[]
439	tweet88_1234888666838945793	@laSextaTV Totalmente de acuerdo con @cayetanaAT	NOVIOLENTO	NO				[]
684	tweet13_1234968203379593217	@laSextaTV Uno no ha de retractarse cuando dice la verdad. Os ha definido perfectamente, de hecho ha sido bastante benvola.	NOVIOLENTO	NO				[]
1194	tweet7_1592824664572977152	La puta movida madrilea llena de fachasy de malos artista y personasun ascoy ahora el do Almeida/Ayuso para enterrar a ese puto agujero negro  https://t.co/iRqKB5Vsjr	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['puta', 'fachasy', 'un asco', 'puto']
2520	tweet96_1235237273651814400	@IreneMontero No demos municin al  Trifachito  Ese Slogan no representa a l@s  Feministas Retirarlo sera lo acertado Un Saludo...	NOVIOLENTO	NO				[]
2238	tweet92_1235342855184486400	@IreneMontero Venga va, solas y borrachas para reivindicar... Q solas y sobrias no sirve. Acompaadas y con un pedo de los guays tb es bien??? Es para una amiga	NOVIOLENTO	NO				[]
2627	tweet63_1235345065234624514	@IreneMontero Dnde estabas toda nuestra vida!!? https://t.co/NNscSWzGUD	NOVIOLENTO	NO				[]
270	tweet48_1235509220029710338	@IreneMontero Vaya una gilipollez, nunca vestir o beber ha justificado o atenuado nada de eso ms all de los locos y delincuentes y algunos inquisidores que los necesitan para llamar al gnero masculino en general 'asesino'	NOVIOLENTO	NO				[]
2616	tweet45_1235202448903598080	@laSextaTV La verdad duele  y mucho. La secta existe gracias a la izmierda rancia de potemos. Jajajaja	VIOLENTO	SI	MODERADO	EJECUTOR	POLITICA	['izmierda', 'rancia', 'potemos']
1868	tweet20_1234887601783484418	@laSextaTV Seores es que tiene toda la razn.	NOVIOLENTO	NO				[]
420	tweet61_1234931286768267265	@laSextaTV Alvarez de Toledo se mantiene sincera. Hoy es raro....	NOVIOLENTO	NO				[]
1763	tweet73_1235374670582595584	@IreneMontero Hoy otra amiga de tu grupo de infancia libre ha secuestrado a sus hijos .	NOVIOLENTO	NO				[]
1479	tweet50_1234947045473079302	@laSextaTV Ustedes crticais a diario, se llama libertad de expresin.	NOVIOLENTO	NO				[]
1695	tweet79_1234880414243807237	@laSextaTV Por qu se iba a retractar? Dijo alguna mentira?	NOVIOLENTO	NO				[]
1894	tweet58_1235179502139068417	@laSextaTV Tiene razn de qu se va a retractar?	NOVIOLENTO	NO				[]
1879	tweet35_1234976232669773826	@laSextaTV @cayetanaAT Bravo Cayetana!!!, me parece perfecto, soys pura basura, llegando casi al nivel de TV3	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['soys pura basura']
401	tweet36_1235242698531106816	@IreneMontero Qu nivel Maribel! Que un ministerio, que ha de representarnos a todos mos espaoles est en manos de semejante iletrada da mucha pena	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['iletrada', 'da mucha pena']
1126	tweet99_1591811585844334592	@agarzon Hoy habis salido lo podemonguers a criticar y hacer campaa contra Ayuso, a vosotros la sanidad pblica os la trae al fresco, as q a contar mentiras a tu puta casa, Por qu no os manifestis en Barcelona o Aragn? q est peor an la sanidad pblica, puto embustero, sois .	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['podemonguers', 'a tu puta casa', 'puto embustero']
2685	tweet58_1235101210878730240	@laSextaTV De verdad que, a los de La Secta, os parece errneo que se os considere un medio propagandstico en vez de comunicativo? Entonces sois ms limitados de lo que parecis...	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['sois ms limitados de lo que parecis...']
1830	tweet67_991218086467555328	Cualquiera se llama a s misma terapeuta o coach  #ridcula	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	['ridcula']
2752	tweet64_1234900398332399622	"@laSextaTV Y as nos sentimos. Es cierto que eres un mquina y sabes usar a la gente, pero nos enseasteis a reciclar y el envoltorio tambin lo tiramos, periodista de La Salada. Por no llamarte ""Hijo de Puta"" directamente, que es de lo que dan ganas."	VIOLENTO	SI	MODERADO	EJECUTOR	OTRO	"['""Hijo de Puta""']"
